mention_id;mention_text;doc_id;sentence_id;begin_index;end_index
M128    ;celebrate writer civil right activist die last year home age;A104;O7      ;1;9
M129    ;___ Information Winston-Salem http //www.journalnow.com;A104;O8      ;0;4
M130    ;sky be restful Warnings musing mention vigorous exercise substitute swear word “ have give swear autumn take run til least early;A105;O1      ;1;20
M131    ;’ d also become involve local cause politics charity well give money quite literally blood;A105;O10     ;1;14
M132    ;Which bring latest charitable venture See;A105;O11     ;0;5
M133    ;So far shoe several pair sock be only kit ’ ve purchase fund raiser ’ m run “ race;A105;O12     ;0;18
M134    ;do have other bite kit have be wear whilst train t-shirt give charity ’ ll be raise fund;A105;O13     ;1;17
M135    ;other charity be also mental health be specifically round project aim help people adopt home town;A105;O14     ;1;15
M136    ;whilst ’ ll always be American tick Other box form – consider be not only British law choice heart;A105;O15     ;2;18
M137    ;part wa allow make choice;A105;O16     ;3;4
M138    ;wa be white speak be not directly least perceive belong “ scary category immigrant;A105;O17     ;1;13
M139    ;Next time someone ask “ don ’ t such-and-such – fill blank ethnic and/or religious group choice – assimilate ” – ask yourselves be honestly give people real choice join;A105;O18     ;0;29
M140    ;Swans still water Doncaster blog be subtitle “ Musings British ” ’ s tin Spring be half-Romanian dad s side;A105;O19     ;0;19
M141    ;remain see prof more chuffin ’ difficult;A105;O2      ;1;6
M142    ;’ ve probably whinged – undoubtedly shut world end again – fact new immigrant do not receive handbook arrival;A105;O3      ;1;18
M143    ;do test cover such useful subject food old telly show swear;A105;O4      ;1;10
M144    ;“ do include section sport wa comparatively brief compare such useful bit information percentage population be ethnic minority According husband ’ s help study real answer be ’ re ” citizenship exam be probably mind Polish lady know ha just sit exam be sit “ exam next;A105;O5      ;0;46
M145    ;subject immigration like be also news judge own life heat topic conversation;A105;O6      ;1;11
M146    ;’ s also nearly year officially become British subject;A105;O7      ;1;8
M147    ;say “ officially ” practically emotionally already think Anglo-American;A105;O8      ;1;8
M148    ;practical level have work pay tax include – do best follow law rule put bin correct day;A105;O9      ;2;16
M149    ;crystal form be know street bath salt flakka;A106;O1      ;2;7
M150    ;People engage such activity not hide apparent anonymity internet face real risk criminal conviction possible imprisonment import substance;A106;O10     ;1;17
M151    ;investigation manager say border security detection system be excellent aim keep drug country;A106;O11     ;4;12
M152    ;haul include bath salt – white pink crystal compose;A106;O12     ;1;8
M153    ;come crystal form tab capsule;A106;O13     ;1;4
M154    ;drug be also know street flakka niff;A106;O14     ;1;6
M155    ;According produce state excite delirium similar cocaine high characterise hyper-stimulation paranoia hallucination lead violent aggression injury;A106;O15     ;0;15
M156    ;Bath salt have be link aggressive behaviour even death overseas;A106;O16     ;1;9
M157    ;ski speed boat house more be impound bust target Chinese import drug earlier year;A106;O17     ;1;13
M158    ;men woman age face charge import;A106;O18     ;1;5
M159    ;Police say be continue investigate import;A106;O19     ;0;5
M160    ;elicit delirium hallucinogenic high;A106;O2      ;1;3
M161    ;bath salt be seize different drug bust earlier year;A106;O3      ;2;8
M162    ;police be warn psychoactive substance ban ha result more illicit drug be order online mail shore series synthetic cannabis bust border;A106;O4      ;1;20
M449    ;be run;A117;O4      ;1;1
M163    ;people be arrest charge drug importation possession cultivation supply series search warrant area last week police say;A106;O5      ;1;16
M164    ;police Customs have intercept drug border include drug methamphetamine synthetic cannabinoid also know bath salt – part investigation announce morning;A106;O6      ;1;19
M165    ;recent month investigation have result seizure dozen small package bind address;A106;O7      ;1;10
M917    ;"";A13 ;O42     ;0;0
M170    ;tell Guardian couple do n't use on-site message tool reach housesitter wa harder investigate complaint delete profile;A107;O11     ;1;16
M171    ;couple part say next time just recruit friend look apartment;A107;O12     ;1;9
M172    ;From firework joust tech exec have weird awesome hobby be secret US government airline fly commercial airport enable watch video;A107;O13     ;3;19
M173    ;be way annual art festival desert receive email friend thank couple rent apartment Guardian report;A107;O2      ;2;14
M174    ;couple have n't actually put apartment home-sharing site;A107;O3      ;2;7
M175    ;Instead have hire professional housesitter find site have then list apartment — price day;A107;O4      ;0;13
M176    ;feel violate pretty upset somebody think trust ha do apartment owner tell;A107;O5      ;2;11
M177    ;tell friend wa 'misunderstanding u s way tell go ahead make;A107;O6      ;2;10
M178    ;TrustedHousesitters remove offend entrepreneurial;A107;O7      ;0;3
M179    ;housesitter profile site ban person profile well;A107;O8      ;0;6
M180    ;couple be also pursue civil lawsuit housesitter;A107;O9      ;1;6
M181    ;Growing small-town share prepubescent girl everywhere prince arrive come pickup truck not white horse rather charm wa criminally abusive /24-7PressRelease/ little-girl dream love be shatter shark sheep clothe escape;A108;O1      ;0;28
M182    ;host program affiliate interview experience ha learn be continue forge relationship Safe speak violence woman;A108;O10     ;7;14
M183    ;http //wfae.org/post/abuse-and-recovery-love-me-madly-memoir;A108;O11     ;1;1
M184    ;wa join Licensed co-creator www.turnaroundanxiety.com;A108;O12     ;1;4
M185    ;story inspire Love ha also be feature http //www.charlotteobserver.com/entertainment/books/reading-matters- http //thecharlotteweekly.com/arts_entertainment/2015/07/south-charlo es-memoir/ http //issuu.com/tcwmagazine/docs/tcw_aug_sept_2015/10 e=5554085/14448382;A108;O13     ;1;14
M186    ;ha more year experience reporter writer editor radio television newspaper magazine master degree broadcast journalism;A108;O14     ;1;14
M187    ;work ha be publish local national publication include;A108;O15     ;1;7
M188    ;ha help launch magazine currently life;A108;O16     ;1;5
M189    ;Love be available http //www.amazon.com/Love-Me-Madly-Resa-Goldberg/dp/193732771X/ref=s e+Me+Madly http //www.barnesandnoble.com/w/love-me-madly-a-memoir-resa-goldberg/ be also available motivational speak engagement university civic group;A108;O17     ;0;16
M190    ;visit www.resagoldberg.com contact information;A108;O18     ;1;3
M191    ;Press release service press release distribution provide http //www.24-7pressrelease.com;A108;O19     ;2;8
M192    ;ever really get away terror learn trust again;A108;O2      ;2;7
M193    ;provocative time painful new memoir publish;A108;O3      ;3;5
M194    ;www.moonshinecovepublishing.com introduce starry-eyed teenybopper innocence be crush series horrify sexual physical assault span year high school;A108;O4      ;1;15
M195    ;book chronicle journey harrow trauma divorce mom shoal date;A108;O5      ;1;8
M196    ;considerable evidence contrary never abandon abide belief not only doe;A108;O6      ;4;9
M197    ;Right exist 's right corner -hidden somewhere boy men;A108;O7      ;0;8
M198    ;payoff end provide author understand past ha make such bad choice way forward happier future finally mission help girl woman have suffer similar experience;A108;O8      ;1;23
M199    ;official book launch www.resagoldberg.com donate portion book sale organize raffle Safe organization assist victim sexual assault teen pregnancy domestic violence;A108;O9      ;3;19
M200    ;caption id= attachment_20527 align= alignleft width= ] people neighbor city come celebrate equality past form parade marriage ceremony musical performance;A109;O1      ;5;19
M201    ;see come together- ’ s so beautiful;A109;O10     ;1;6
M202    ;be word describe amaze is. ” year be especially important history history new federal gay marriage legislation say;A109;O11     ;1;17
M203    ;come together even incorporate same-sex marriage ceremony festivity;A109;O12     ;7;7
M204    ;“ think year ha be amaze year nation;A109;O13     ;0;7
M205    ;mean ’ ve have miraculous event happen last couple month pride month;A109;O14     ;1;11
M206    ;um wa tell girl ’ ve be go lot pride state see so much everywhere be such beautiful thing see everyone come together finally accept truly be ’ ve always celebrated. ” begin woman begin process more year ago start try organize gay-night local bar call;A109;O15     ;1;45
M207    ;event wa hit community local bar be consistently hold event;A109;O16     ;1;9
M208    ;Luckily last year problem wa solve first gay bar;A109;O17     ;0;8
M209    ;Now hold drag show host last saturday month;A109;O18     ;0;7
M210    ;native say event be even draw member outside city;A109;O19     ;5;8
M211    ;festival double attendance year;A109;O2      ;1;3
M212    ;“ Being college town ’ ve always have people guess people support people don ’ t;A109;O20     ;0;15
M213    ;think last year ’ ve see more voice come join together be more unite;A109;O21     ;1;13
M214    ;think welcome bigger city area be college town;A109;O22     ;1;7
M3223   ;romantic;A29 ;O6      ;1;0
M215    ;’ s just wonderful get here see something ’ re familiar be also happen here;A109;O23     ;1;14
M216    ;be event everyone everywhere ’ s really good see that. queen perform show think annual event be something be proud say be more progressive s neighbor;A109;O24     ;2;25
M217    ;“ person grow doesn ’ t have type gay community ’ s kind amaze see;A109;O25     ;0;14
M218    ;don ’ t know know downtown s sign say “ Marriage be man woman ” wa only couple month ago;A109;O26     ;1;19
M219    ;Seeing kind irk bone know i ’ m there see something so close total opposite make so happy;A109;O27     ;0;17
M220    ;feel good be accept especially place live grow;A109;O28     ;1;7
M274    ;“ wa interest expand character expand life imagine be hours. ” film pilot disagree certain aspect premier TV movie instead;A110;O37     ;0;19
M1044   ;debris shell hit house car lorry be big;A134;O7      ;2;7
M221    ;don ’ t wan look back ’ re think live there… want be proud be proud step game. ” be great opportunity meet like-minded people festival environment community ally be welcome get involve next year event see lady action hold;A109;O29     ;1;39
M222    ;main event take place drag show wa host;A109;O3      ;3;7
M223    ;lady perform “ lip-synch dance performance;A109;O4      ;1;5
M224    ;native say ’ s be long process get city point acceptance;A109;O5      ;2;10
M225    ;“ Growing here never imagine happen;A109;O6      ;0;5
M226    ;never imagine be perform hometown;A109;O7      ;1;4
M227    ;mean know want think have go place do;A109;O8      ;1;7
M228    ;So have leave that- come back have girls… ’ s family really;A109;O9      ;0;11
M229    ;WASHINGTON offer assurance nuclear deal leave “ more effective ” military option become necessary;A11 ;O1      ;0;13
M230    ;have smaller more concentrate civil nuclear programme deal s verification provision give u more information plan. ” earn enough back week make sure deal be not block lawmaker;A11 ;O10     ;2;27
M231    ;agreement ease Western sanction return curtail nuclear programme;A11 ;O11     ;1;7
M232    ;Read big power clinch landmark nuclear deal Many however believe republic still seek cheat way develop atomic bomb;A11 ;O12     ;0;17
M233    ;public relation battle wa launch agreement be be put vote next week;A11 ;O13     ;1;11
M234    ;steadfastly deny claim be develop nuclear bomb argue nuclear capability be civilian use;A11 ;O14     ;2;12
M235    ;post chief say deal strengthen military option appear first;A11 ;O15     ;1;8
M236    ;defend agreement opinion piece argue lead more durable outcome;A11 ;O2      ;1;8
M237    ;chief say military option wa still table call such action be “ more effective ” result agreement;A11 ;O3      ;3;16
M238    ;power strike landmark deal year negotiation address Western concern wa develop nuclear bomb;A11 ;O4      ;1;12
M239    ;Read chief meet discus tension deal “ implementation block pathway take build nuclear bomb;A11 ;O5      ;0;13
M240    ;long-term outcome be more durable military strike bring about write;A11 ;O6      ;1;9
M241    ;“ be responsible alternative know be effective set s nuclear programme do so potentially serious second- third-order repercussion likely need repeat attack once seek rebuild capability. ” argue deal also make option military action stronger go forward;A11 ;O7      ;0;36
M242    ;Read Israeli action be ‘ huge mistake ’ “ military option be real today secretary defense be sure remain true well future write;A11 ;O8      ;0;22
M243    ;“ Indeed reality be prospective military option call be more effective deal — not le;A11 ;O9      ;0;14
M244    ;report 20th anniversary screen most groundbreaking crime drama time celebrate th anniversary screen film new print follow session director;A110;O1      ;2;18
M245    ;guy wa such high-class professional thief wa great pro lot discipline;A110;O10     ;2;10
M246    ;regard guy didn t make hesitate second hunt eventually get shootout foil robbery. “ wasn ’ contradiction different way be think;A110;O11     ;1;20
M247    ;be true %;A110;O12     ;1;2
M248    ;didn t diminish other become idea film ”;A110;O13     ;1;7
M249    ;Indeed s s respective character be protagonist own story get equal amount time film;A110;O14     ;0;13
M250    ;continue later really attract s story wa “ notion life be way more complex reality be power make up. also talk funny similarity detective director think;A110;O15     ;1;25
M251    ;“ actually do exact thing director doe;A110;O16     ;0;6
M252    ;director know character understand character motivation character do certain scene;A110;O17     ;1;9
M253    ;detective show crime ha occur s be leave try reconstruct event try then figure motive locate character;A110;O18     ;1;16
M254    ;people be really good become addiction. ” be show very well film s be completely take work;A110;O19     ;2;16
M255    ;film wa first time ever legendary actor star together big screen;A110;O2      ;1;10
M256    ;marriage be face end s refusal open dark side job wife continuously let push further away normal life;A110;O20     ;1;17
M257    ;Even s character warn note be third marriage only display s commitment job;A110;O21     ;0;12
M258    ;even admit favourite line be admit wife be be ’ m go ”;A110;O22     ;1;12
M259    ;film come back extend session open question up audience;A110;O23     ;2;8
M260    ;wa clear even year film wa release be still beloved film consider favourite s fan;A110;O24     ;1;14
M261    ;first question wa notion time film specifically line “ be luck;A110;O25     ;1;10
M262    ;say “ be luck be believe;A110;O26     ;1;5
M263    ;Personally find Neil be very tragic heartbreaking character feel expectation want have life be tragically cut short;A110;O27     ;0;16
M264    ;be luck s keep repeat movies. ” also explain get further inspiration much imagery use film even later film;A110;O28     ;1;18
M265    ;Many fan probably know story already wa very take paint Canadian painter depict man stand alone window star ocean gun sit table;A110;O29     ;0;21
M266    ;have previously star together do not appear other due s role flashback;A110;O3      ;1;11
M267    ;shoot wa use almost exact recreation viewer see come home empty house s life be bare material thing human connection;A110;O30     ;1;19
M268    ;“ wa profound sense maintain alienation loneliness;A110;O31     ;0;6
M269    ;’ s affect paint so take great pain recreate it. ” also recall funny anecdote first find house become s home window wa cover seagull poop use le polite way say want keep add s isolation;A110;O32     ;1;35
M270    ;next day someone have clean not know want keep;A110;O33     ;1;8
M271    ;interest bite history regard film wa prior have be turn TV movie call;A110;O34     ;1;12
M272    ;have originally intend s story be television series follow character course series;A110;O35     ;1;11
M273    ;reveal have write then script only % script film;A110;O36     ;1;8
M275    ;Still keen develop project feature film wisely keep ownership project idea;A110;O38     ;0;10
M277    ;change cast cool ice thief obsess cop determine take;A110;O4      ;1;8
M278    ;intrigue discovery panel wa fan consider favourite scene be;A110;O40     ;1;8
M279    ;many critic point coffee scene not only best scene film best scene film period many fan agree final scene actor airport wa favourite;A110;O41     ;1;22
M280    ;be hard deny scene be best give final acknowledgement mutual respect s play;A110;O42     ;1;12
M281    ;talk film climax be location runway film tense foot chase;A110;O43     ;1;9
M282    ;“ wa fascinate plane be foot head;A110;O44     ;0;6
M283    ;come grind shake work be do actor crew be vibrate intensity;A110;O45     ;2;10
M284    ;’ s something be say do real;A110;O46     ;1;6
M285    ;’ not something do now post-9/11. ” further state wa try find “ something come ordinary material world ’ re familiar yet be so depopulate life feel transient stage feel;A110;O47     ;1;29
M286    ;have be feel very industrial real;A110;O48     ;1;5
M287    ;Airports night make feel way particularly people never go;A110;O49     ;0;8
M288    ;course film character discover be not so different other culminate epic shootout street downtown force s thief choose code self-preservation new life;A110;O5      ;2;21
M289    ;’ s nothing building architecture be make people. final question be ask wa shot use scenery;A110;O50     ;1;15
M290    ;be beautifully shoot start finish lot great scenery overlook;A110;O51     ;1;8
M291    ;don ’ t know wa film entirely location sound stage process be very costly rarely do today s cinema;A110;O52     ;3;18
M292    ;instance epic firefight street wa somewhat difficult process only film weekend certain hour;A110;O53     ;1;12
M293    ;also ha be consider today rather unconventional style shoot scene end object focus;A110;O54     ;1;12
M294    ;“ time wa very interest negative space asymmetrical composition thing subjectify experience film;A110;O55     ;0;12
M295    ;wa imperative want do;A110;O56     ;1;3
M296    ;want extent bring audience subjectively moment scene character;A110;O57     ;1;7
M297    ;come know exactly want do not necessarily ’ re go do know exactly want do much detail get. conclude say “ think lot definition moment character come anomaly so start look s anomalous character s behavior s go give lot specificity identity;A110;O58     ;4;41
M298    ;think audience be way smarter know be perceptually ’ re brilliant;A110;O59     ;1;10
M299    ;film begin come introduce few question moderator;A110;O6      ;2;6
M300    ;’ ve always felt s responsibility job use tool constantly try intensify experience. ” Asked give example anomaly jokingly refer s hair clothe film;A110;O60     ;1;23
M301    ;be doubt best film cinema arguably s best;A110;O61     ;1;7
M302    ;friendly thoughtful persona be evident be appreciation fan film;A110;O62     ;1;8
M303    ;’ more be amount knowledge ha filmmaking character study let actor create spellbind performance;A110;O63     ;1;13
M304    ;Even ’ ve see dozen time pop player right now haven ’ t have idea ’ ve be miss most especially;A110;O64     ;0;20
M305    ;Ricky Church;A110;O65     ;0;1
M306    ;talk idea come life true event friend former police detective;A110;O7      ;1;9
M307    ;wa base real life thief same name hunt down yet talk mutual respect have other;A110;O8      ;2;14
M308    ;say wa wonderful duality think;A110;O9      ;1;4
M309    ;be more just zombie show;A111;O1      ;3;4
M310    ;Here be film influence show use same scare tactic;A111;O10     ;0;8
M311    ;See n't get enough follow gang post-apocalyptic wasteland;A111;O11     ;0;7
M312    ;"";A111;O12     ;0;0
M313    ;be usually cite very first zombie movie ever make freak modernity;A111;O13     ;14;10
M314    ;image relentless undead flesh eater begin here;A111;O14     ;1;6
M315    ;pay homage be chiefly set barn zombie try get own claustrophobic episode set church;A111;O15     ;3;13
M316    ;"";A111;O16     ;0;0
M317    ;Dawn sequel familiar set formula mall thrill effect film ha more say;A111;O17     ;0;11
M318    ;human survivor be n't mere victim reflection humanity;A111;O18     ;1;7
M319    ;people still exist end world even have time rob pillage steal;A111;O19     ;1;10
M320    ;'s horror true series be equal part horror dramatic thriller;A111;O2      ;1;9
M321    ;doe n't forget fact People be still people zombie hunt not;A111;O20     ;3;10
M322    ;"";A111;O21     ;0;0
M323    ;Days Later film list most be masterpiece;A111;O22     ;1;6
